"line_item_usage_type","line_item_product_code","line_item_line_item_type","pricing_unit","line_item_operation","product_region"
"EUC1-MP:EUC1_InputTokenCount-Units","7cloiv1lqe76eogr33nhp9r5k8","Usage","Units","Usage","eu-central-1"
"USE1-MP:USE1_CacheWriteInputTokenCount-Units","23otb4rdau62rpd0j3jiod095n","Usage","Units","InvokeModelStreamingInference","us-east-1"
"USE1-MP:USE1_InputTokenCount-Units","7g37zhparap7eesm9k78jrzqc","Usage","Units","InvokeModelInference","us-east-1"
"USE1-MP:USE1_InputTokenCount-Units","mrranvtjv73frdrt492b07oio","Usage","Units","InvokeModelStreamingInference","us-east-1"
"USE1-EUW2-AWS-Out-Bytes","AmazonS3","Usage","GB","HeadBucket","us-east-1"
"APS1-SAE1-AWS-In-Bytes","AmazonS3","Usage","GB","PutObject","ap-southeast-1"
"USE2-USE1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","us-east-2"
"USW1-USE1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","us-west-1"
"EUC1-FreeEventsRecorded","AWSCloudTrail","Usage","Events","None","eu-central-1"
"APN1-NatGateway-Hours","AmazonEC2","Usage","Hrs","NatGateway","ap-northeast-1"
"APS3-BoxUsage:t2.micro","AmazonEC2","Usage","Hrs","RunInstances","ap-south-1"
"USE1-SAE1-AWS-Out-Bytes","AWSLambda","Usage","GB","Invoke","us-east-1"
"NodeUsage:cache.t2.micro","AmazonElastiCache","Usage","Hrs","CreateCacheCluster:0001","us-east-1"
"EUW2-Requests-Tier2","AmazonS3","Usage","Requests","ReadRequestPaymentProps","eu-west-2"
"APS1-USE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketWebsite","ap-southeast-1"
"CAN1-USE1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ca-central-1"
"USW2-DataTransfer-Out-Bytes","AmazonSNS","Usage","GB","ListSubscriptions","us-west-2"
"APN2-Requests-Tier1","AmazonSNS","Usage","Requests","ListSubscriptions","ap-northeast-2"
"USE1-EUW3-AWS-In-Bytes","AmazonEC2","Usage","GB","LoadBalancing-PublicIP-In","us-east-1"
"EU-CW:MetricMonitorUsage","AmazonCloudWatch","Usage","Metrics","MetricStorage:AWS/ApiGateway","eu-west-1"
"USW1-CAN1-AWS-Out-Bytes","AmazonEC2","Usage","GB","LoadBalancing-PublicIP-Out","us-west-1"
"APN2-BoxUsage:m5.24xlarge","AmazonEC2","Usage","Hrs","RunInstances","ap-northeast-2"
"USW2-StateTransition","AmazonStates","Usage","StateTransitions","Task","us-west-2"
"USE2-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadCostAllocation","us-east-2"
"EUC1-BoxUsage:m4.10xlarge","AmazonEC2","Usage","Hrs","RunInstances","eu-central-1"
"BoxUsage:r3.8xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002","us-east-1"
"USE2-DataTransfer-In-Bytes","AmazonS3","Usage","GB","WriteVersioningProps","us-east-2"
"APN1-ElasticIP:Remap","AmazonEC2","Usage","Count","AssociateAddress","ap-northeast-1"
"APN2-Requests-Tier2","AmazonS3","Usage","Requests","ReadBucketCors","ap-northeast-2"
"APS1-USE1-AWS-In-Bytes","AmazonEC2","Usage","GB","LoadBalancing-PublicIP-In","ap-southeast-1"
"EU-AMLBoxUsage","AmazonML","Usage","Hrs","TrainModel","eu-west-1"
"APS1-EUC1-AWS-Out-Bytes","AmazonS3","Usage","GB","GetObject","ap-southeast-1"
"USE1-APN2-AWS-Out-Bytes","AmazonS3","Usage","GB","ListAllMyBuckets","us-east-1"
"USW1-DataTransfer-Out-Bytes","AmazonSNS","Usage","GB","Notification","us-west-1"
"CAN1-DataTransfer-Out-Bytes","AmazonDynamoDB","Usage","GB","DescribeLimits","ca-central-1"
"EUW3-USW2-AWS-In-Bytes","AWSLambda","Usage","GB","Invoke","eu-west-3"
"EUC1-USE1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","eu-central-1"
"USW2-BoxUsage:c5d.2xlarge","AmazonEC2","Usage","Hrs","RunInstances","us-west-2"
"USE2-USE1-AWS-Out-Bytes","AmazonECS","Usage","GB","FargateTask","us-east-2"
"APS3-DataTransfer-Out-Bytes","AmazonRDS","Usage","GB","CreateDBInstance:0016","ap-south-1"
"APS2-AU-did-numbers","ContactCenterTelecomm","Usage","Count","Null","ap-southeast-2"
"USE1-EU-AWS-Out-Bytes","AmazonRDS","Usage","GB","Not Applicable","us-east-1"
"USW1-Requests-Tier1","AmazonSNS","Usage","Requests","DeleteTopic","us-west-1"
"EUN1-PaidComplianceCheck","AWSSecurityHub","Usage","Security Checks","NoOperation","eu-north-1"
"APS2-USE1-AWS-Out-Bytes","AmazonECR","Usage","GB","downloadLayer","ap-southeast-2"
"APN3-Requests-Tier1","AWSQueueService","Usage","Requests","List","ap-northeast-3"
"APN3-Requests-Tier1","AmazonSNS","Usage","Requests","ListSubscriptions","ap-northeast-3"
"CAN1-FreeEventsAnalyzed","AmazonGuardDuty","Usage","Events","none","ca-central-1"
"SAE1-USE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketLifecycle","sa-east-1"
"F-Ingress-Tier1","AmazonSNS","Usage","GB","Publish","us-east-1"
"APN1-Catalog-Request","AWSGlue","Usage","Request","Request","ap-northeast-1"
"APS3-Requests-Tier2","AmazonS3","Usage","Requests","ReadBucketOwnershipControls","ap-south-1"
"APS3-APS1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","ap-south-1"
"APN1-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadBucketObjectLockConfig","ap-northeast-1"
"EU-AFS1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","eu-west-1"
"EUW2-CW:Requests","AmazonCloudWatch","Usage","Requests","ListDashboards","eu-west-2"
"APE1-DataTransfer-xAZ-Out-Bytes","AWSLambda","Usage","GB","Invoke","ap-east-1"
"BudgetsReports","AWSBudgets","Usage","Message","ReportDelivery","global"
"APN1-APE1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-northeast-1"
"APS2-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","CompleteMultipartUpload","ap-southeast-2"
"USE1-APN1-AWS-Out-Bytes","AmazonS3","Usage","GB","HeadObject","us-east-1"
"APN2-BoxUsage:t3a.large","AmazonEC2","DiscountedUsage","Hrs","RunInstances","ap-northeast-2"
"APN1-EUN1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","ap-northeast-1"
"USW1-EUC1-AWS-Out-Bytes","AWSLambda","Usage","GB","Invoke","us-west-1"
"APS3-AWSSecretsManagerAPIRequest","AWSSecretsManager","Usage","API Requests","ValidateResourcePolicy","ap-south-1"
"APN1-ApiGatewayHttpRequest","AmazonApiGateway","Usage","Requests","ApiGatewayHttpApi","ap-northeast-1"
"USW2-SpotUsage:c5d.4xlarge","AmazonEC2","Usage","Hours","RunInstances:SV001","us-west-2"
"InstanceUsage:db.t3.small","AmazonRDS","Usage","Hrs","CreateDBInstance:0019","us-east-1"
"QS-User-Standard-Free-Trial","AmazonQuickSight","Usage","User","QS-User-Standard-Free-Trial","global"
"USE1-CloudFront-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","us-east-1"
"APS2-APS1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketPolicyStatus","ap-southeast-2"
"APS1-DataTransfer-In-Bytes","AmazonDynamoDB","Usage","GB","Scan","ap-southeast-1"
"BoxUsage:t2.xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002","us-east-1"
"USW2-SpotUsage:c4.large","AmazonEC2","Usage","Hrs","RunInstances:SV002","us-west-2"
"APS1-PHL1-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","ap-southeast-1"
"APS1-OtherProduct:FreeFindingsIngestion-FreeTrial","AWSSecurityHub","Usage","Finding Ingestion Events","NoOperation","ap-southeast-1"
"Lambda-GB-Second-ARM","AWSLambda","SavingsPlanCoveredUsage","Lambda-GB-Second","Invoke","us-east-1"
"EUC1-BoxUsage:c5.4xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","eu-central-1"
"DataTransfer-Regional-Bytes","AmazonEKS","Usage","GB","FargatePod","us-east-1"
"APS1-ATL1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","ap-southeast-1"
"USW1-BoxUsage:c5.xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","us-west-1"
"APS1-DEL1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","ap-southeast-1"
"USE2-SpotUsage:t3a.2xlarge","AmazonEC2","Usage","Hrs","RunInstances:SV050","us-east-2"
"Lambda-GB-Second","AWSLambda","Usage","Lambda-GB-Second","Invoke","us-east-1"
"USE1-USW1-AWS-Out-Bytes","AmazonS3","Usage","GB","ListStorageLensGroups","us-east-1"
"APS3-Requests-Tier1","AmazonS3","Usage","Requests","ListAllMyDirectoryBuckets","ap-south-1"
"us-west-2-KMS-Requests","awskms","Usage","Requests","ListKeyRotations","us-west-2"
"APN1-DataTransfer-In-Bytes","AmazonSWF","Usage","GB","Unknown","ap-northeast-1"
"ap-southeast-1-KMS-Requests","awskms","Usage","Requests","ListKeyRotations","ap-southeast-1"
"EUN1-APS3-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadACL","eu-north-1"
"USW2-USE1-AWS-In-Bytes","AmazonEC2","Usage","GB","RegionalNatGateway","us-west-2"
"USE2-RegionalNatGateway-Bytes","AmazonEC2","Usage","GB","RegionalNatGateway","us-east-2"
"USE1-APE2-AWS-Out-Bytes","AWSLambda","Usage","GB","Invoke","us-east-1"
"USE1-TitanEmbeddingV2-Text-input-tokens","AmazonBedrock","Usage","1K tokens","InvokeModelInference","us-east-1"
"EU-APN3-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","eu-west-1"
"USE1-NovaCanvas-T2I-1024-Premium","AmazonBedrock","Usage","image","InvokeModelInference","us-east-1"
"EUC1-APS8-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","eu-central-1"
"USE1-APN3-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","us-east-1"
"USE2-DataTransferOut","AWSAmplify","Usage","GigaBytes","POST","us-east-2"
"APE1-DataTransfer-Out-Bytes","AmazonECR","Usage","GB","downloadLayer","ap-east-1"
"APS2-BoxUsage:t3.nano","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-southeast-2"
"EU-FreeComplianceCheck:CISAWSFoundations","AWSSecurityHub","Usage","Compliance Checks","NoOperation","eu-west-1"
"USE1-APIRequest","AWSCostExplorer","Usage","Dollar","GetRightsizingRecommendation","us-east-1"
"EUN1-USW1-AWS-Out-Bytes","AmazonS3","Usage","GB","ListBucket","eu-north-1"
"APN2-BoxUsage:c5a.8xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-northeast-2"
"USE2-APS1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadLogProps","us-east-2"
"APS3-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadNotificationProps","ap-south-1"
"USE1-CloudFrontChina-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","us-east-1"
"USW2-PublicIPv4:InUseAddress","AmazonVPC","Usage","Hrs","CreateAccelerator","us-west-2"
"APS4-AFS1-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","ap-southeast-3"
"USE1-Kafka.m5.large","AmazonMSK","Usage","hours","RunBroker","us-east-1"
"EUC1-APN1-AWS-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","eu-central-1"
"USW2-EUN1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","us-west-2"
"APN3-APS1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-northeast-3"
"EUN1-Requests-Tier1","AmazonS3","Usage","Requests","WriteBucketServerSideEncryption","eu-north-1"
"APN1-BoxUsage:t2.nano","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-northeast-1"
"SAE1-ATL1-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","sa-east-1"
"APS2-DataTransfer-In-Bytes","AmazonS3","Usage","GB","WriteBucketPublicAccessBlock","ap-southeast-2"
"APN1-EBS:VolumeUsage.st1","AmazonEC2","Usage","GB-Mo","CreateVolume-St1","ap-northeast-1"
"USE1-APS4-AWS-Out-Bytes","AmazonES","Usage","GB","None","us-east-1"
"APS4-USW2-AWS-Out-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","ap-southeast-3"
"APS2-BoxUsage:c5ad.24xlarge","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-southeast-2"
"CAN1-TNB_API_Calls","AWSTelcoNetworkBuilder","Usage","API Calls","ListSolFunctionPackages","ca-central-1"
"USW1-MES1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-west-1"
"EUC1-LoadBalancerUsage","AWSELB","Usage","Hrs","LoadBalancing","eu-central-1"
"APN1-MES1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","ap-northeast-1"
"APN3-BoxUsage:t2.large","AmazonEC2","DiscountedUsage","Hrs","RunInstances","ap-northeast-3"
"APN3-EU-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-northeast-3"
"APN1-USE1-AWS-Out-Bytes","AmazonECS","Usage","GB","FargateTask","ap-northeast-1"
"APE1-MSP1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","ap-east-1"
"APS2-BoxUsage:t1.micro","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-southeast-2"
"APS2-DeliveryAttempts-LAMBDA","AmazonSNS","Usage","Notifications","Notification","ap-southeast-2"
"APN2-APS2-AWS-Out-Bytes","AmazonS3","Usage","GB","CopyObjectGet","ap-northeast-2"
"EUC2-DataTransfer-Out-Bytes","AmazonSNS","Usage","GB","ListSubscriptions","eu-central-2"
"USE2-DataTransfer-Regional-Bytes","AWSAppRunner","Usage","GB","RunService","us-east-2"
"EUC1-QRO1-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","eu-central-1"
"APS1-Requests-FIFO-Tier1","AWSQueueService","Usage","Requests","ChangeMessageVisibilityBatch","ap-southeast-1"
"EUC1-CAN1-AWS-Out-Bytes","AmazonEC2","Usage","GB","RunInstances","eu-central-1"
"DataTransfer-Out-Bytes","AmazonS3","Usage","GB","SelectObjectContent","us-east-1"
"APN1-BoxUsage:t2.medium","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances:0002","ap-northeast-1"
"APS3-SpotUsage:i4i.large","AmazonEC2","Usage","Hrs","RunInstances:SV054","ap-south-1"
"EUN1-Requests-Tier1","AWSQueueService","Usage","Requests","DeleteQueue","eu-north-1"
"EUC1-Requests-Tier2","AmazonS3","Usage","Requests","GetBucketMetadataConfig","eu-central-1"
"AP-ZA-IN-Bytes-Internet","AWSGlobalAccelerator","Usage","GigaBytes","Dominant","ap-southeast-1"
"EUC1-EUW2-AWS-In-Bytes","AmazonECS","Usage","GB","FargateTask","eu-central-1"
"USW2-EUN1-AWS-In-Bytes","AmazonEC2","Usage","GB","RegionalNatGateway","us-west-2"
"DataTransfer-In-Bytes","AmazonDynamoDB","Usage","GB","DescribeLimits","us-east-1"
"APS3-EU-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketPolicyStatus","ap-south-1"
"APE1-SAE1-AWS-In-Bytes","AmazonRDS","Usage","GB","Not Applicable","ap-east-1"
"APN3-USE1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-In","ap-northeast-3"
"APN1-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","WriteVersioningProps","ap-northeast-1"
"USW2-USW1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-west-2"
