"usageType","usageUnit","serviceName"
"APS2-AppRunner-GB-hours","hours","AWSAppRunner"
"USE1-AppRunner-GB-hours","hours","AWSAppRunner"
"USE2-AppRunner-GB-hours","hours","AWSAppRunner"
"APE1-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"APE1-InstanceUsg:dms.t3.micro","Hrs","AWSDatabaseMigrationSvc"
"APN1-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"APS1-InstanceUsg:dms.t2.medium","Hrs","AWSDatabaseMigrationSvc"
"APS1-InstanceUsg:dms.t2.micro","Hrs","AWSDatabaseMigrationSvc"
"APS1-InstanceUsg:dms.t3.large","Hrs","AWSDatabaseMigrationSvc"
"APS1-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"APS1-InstanceUsg:dms.t3.micro","Hrs","AWSDatabaseMigrationSvc"
"APS1-Multi-AZUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"APS2-InstanceUsg:dms.t2.micro","Hrs","AWSDatabaseMigrationSvc"
"APS2-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"APS2-Multi-AZUsg:dms.c5.large","Hrs","AWSDatabaseMigrationSvc"
"APS3-InstanceUsg:dms.r5.large","Hrs","AWSDatabaseMigrationSvc"
"APS3-InstanceUsg:dms.t2.micro","Hrs","AWSDatabaseMigrationSvc"
"APS3-InstanceUsg:dms.t3.large","Hrs","AWSDatabaseMigrationSvc"
"APS3-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"APS3-InstanceUsg:dms.t3.micro","Hrs","AWSDatabaseMigrationSvc"
"APS3-InstanceUsg:dms.t3.small","Hrs","AWSDatabaseMigrationSvc"
"APS3-Multi-AZUsg:dms.t2.micro","Hrs","AWSDatabaseMigrationSvc"
"APS3-Multi-AZUsg:dms.t3.large","Hrs","AWSDatabaseMigrationSvc"
"EU-InstanceUsg:dms.c5.large","Hrs","AWSDatabaseMigrationSvc"
"EU-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"EUC1-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"EUW2-InstanceUsg:dms.t3.small","Hrs","AWSDatabaseMigrationSvc"
"InstanceUsg:dms.t2.medium","Hrs","AWSDatabaseMigrationSvc"
"InstanceUsg:dms.t2.micro","Hrs","AWSDatabaseMigrationSvc"
"InstanceUsg:dms.t2.small","Hrs","AWSDatabaseMigrationSvc"
"InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"InstanceUsg:dms.t3.micro","Hrs","AWSDatabaseMigrationSvc"
"InstanceUsg:dms.t3.small","Hrs","AWSDatabaseMigrationSvc"
"Multi-AZUsg:dms.t3.large","Hrs","AWSDatabaseMigrationSvc"
"USE2-InstanceUsg:dms.t2.medium","Hrs","AWSDatabaseMigrationSvc"
"USE2-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"USE2-InstanceUsg:dms.t3.micro","Hrs","AWSDatabaseMigrationSvc"
"USE2-InstanceUsg:dms.t3.small","Hrs","AWSDatabaseMigrationSvc"
"USE2-Multi-AZUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"USW2-InstanceUsg:dms.t2.large","Hrs","AWSDatabaseMigrationSvc"
"USW2-InstanceUsg:dms.t3.medium","Hrs","AWSDatabaseMigrationSvc"
"USE1-ServiceUse-Train-Evaluate-Job","hours","AWSDeepRacer"
"APN1-Small-SimpleAD-Usage","Hrs","AWSDirectoryService"
"APS1-Small-SimpleAD-Usage","Hrs","AWSDirectoryService"
"EU-Small-SimpleAD-Usage","Hrs","AWSDirectoryService"
"MicrosoftAD-DC-Usage","Hrs","AWSDirectoryService"
"Small-SimpleAD-Usage","Hrs","AWSDirectoryService"
"EML1-APS2-IN-AVC-HD-L20","Hrs","AWSElementalMediaLive"
"EML1-APS2-OUT-AVC-HD-L10-30-S","Hrs","AWSElementalMediaLive"
"EML1-APS2-OUT-IDLE","Hrs","AWSElementalMediaLive"
"APN1-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"APN1-ETL-DPU-Hour","DPU-Hour","AWSGlue"
"APN2-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"APS1-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"APS1-ETL-DPU-Hour","DPU-Hour","AWSGlue"
"APS1-GlueInteractiveSession-DPU-Hour","DPU-Hour","AWSGlue"
"APS2-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"APS2-ETL-DPU-Hour","DPU-Hour","AWSGlue"
"APS2-GlueInteractiveSession-DPU-Hour","DPU-Hour","AWSGlue"
"APS3-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"APS3-DEVED-DPU-Hour","DPU-Hour","AWSGlue"
"APS3-ETL-DPU-Hour","DPU-Hour","AWSGlue"
"APS3-ETL-Flex-DPU-Hour","DPU-Hour","AWSGlue"
"APS3-GlueInteractiveSession-DPU-Hour","DPU-Hour","AWSGlue"
"EU-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"EU-ETL-DPU-Hour","DPU-Hour","AWSGlue"
"EUC1-Crawler-DPU-Hour","DPU-Hour","AWSGlue"
"EUC1-ETL-DPU-Hour","DPU-Hour","AWSGlue"
